feature,mi_score,word,chi2_p,purchase_rate
企業概要_tfidf_1,0.04628311163445886,it 業界,5.4533783930434735e-05,0.4897959183673469
企業概要_tfidf_121,0.04201753809119513,効率,0.09219810606619569,0.304
企業概要_tfidf_98,0.03731707736036882,信頼,0.9626210475496465,0.2441860465116279
企業概要_tfidf_286,0.037086071440967316,海外,1.0,0.24
企業概要_tfidf_239,0.03695262823963774,提供 実現,0.4212398606458976,0.3076923076923077
企業概要_tfidf_119,0.034367640980916825,努め,0.25789196983666873,0.21611721611721613
企業概要_tfidf_157,0.03419087165599333,地域,0.8786059798069462,0.23529411764705882
企業概要_tfidf_42,0.034071892257992786,サービス 展開,0.12476176669495989,0.3069306930693069
企業概要_tfidf_370,0.03239959352622335,邁進,0.5928944094732266,0.2
企業概要_tfidf_103,0.03223485991041186,先進,0.039126905568888835,0.3153846153846154
企業概要_tfidf_310,0.031707119727797606,確立,0.7484923165772854,0.22429906542056074
企業概要_tfidf_151,0.03052129713728302,商品,7.419258643083123e-05,0.0975609756097561
企業概要_tfidf_275,0.03051526715203634,機械 業界,0.683191424800014,0.26262626262626265
企業概要_tfidf_37,0.030333953662895707,コンサルティング,0.8968982342304027,0.2631578947368421
企業概要_tfidf_117,0.02931010894174979,加え,0.06531132877777156,0.20146520146520147
企業概要_tfidf_71,0.028303880203105036,事業 分野,0.17684889853865363,0.13513513513513514
企業概要_tfidf_244,0.028109696623242586,支援,2.3464964962967348e-05,0.390625
企業概要_tfidf_399,0.0276960658110319,高度,0.14347788526296618,0.35
企業概要_tfidf_284,0.02765764069800447,活用,0.7826088646602195,0.25806451612903225
企業概要_tfidf_391,0.027505429721575325,革新 サービス,0.15806759729766165,0.3409090909090909
企業概要_tfidf_82,0.027329137558538497,企業,0.6478039512911917,0.24670433145009416
企業概要_tfidf_385,0.0273088129129615,関連 会社,0.07591351502633673,0.36363636363636365
企業概要_tfidf_380,0.02693288933653548,開発,0.0041559089413934994,0.29523809523809524
企業概要_tfidf_54,0.02657790663970827,ブランド,0.05310520562817679,0.14473684210526316
企業概要_tfidf_197,0.02637901387844721,市場,0.2822194385039164,0.2631578947368421
企業概要_tfidf_352,0.02619347221866586,貢献,0.11292397288932637,0.2824074074074074
企業概要_tfidf_101,0.026122442398689216,充実,0.759083583960689,0.21666666666666667
企業概要_tfidf_48,0.025847114800519266,ニーズ,0.1157444949146211,0.2645631067961165
企業概要_tfidf_224,0.025411584246979313,技術 革新,0.18086274944791533,0.2848101265822785
企業概要_tfidf_301,0.025358592837364302,発展,0.6227992731175545,0.2602739726027397
